intent,tasks,reworked_tasks,rework_rate,reviewed_tasks,good,fair,bad,strict_pass_rate,lenient_pass_rate,fallback_rate
RAG or 초동수사,827,827,1.0,822,371,137,314,0.451338199513382,0.6180048661800487,0.5211608222490931
"게임 외 질문(일상/메타성, 의미 없는 발화 등)",22,1,0.045454545454545456,1,1,0,0,1.0,1.0,0.45454545454545453
"멀티턴 / 문맥 부족 (게임, 고객 서비스 관련)",86,3,0.03488372093023256,0,0,0,0,,,0.5581395348837209
외국어,39,2,0.05128205128205128,0,0,0,0,,,1.0
욕설/비난/비윤리적_주제,18,0,0.0,0,0,0,0,,,0.7777777777777778
타 게임 / 외부 서비스,7,2,0.2857142857142857,0,0,0,0,,,0.2857142857142857
